iso_a2,q,target
AO,35,80
BF,27,80
BI,32,80
BJ,35,80
CD,30,80
CF,23,80
CG,14,80
CI,25,80
CM,11,80
DJ,36,80
ER,10,80
ET,32,80
GA,12,80
GH,28,80
GM,23,80
GN,24,80
GQ,10,80
GW,26,80
KE,22,80
KM,21,80
LR,37,80
MG,27,80
ML,15,80
MR,32,80
MW,32,80
MZ,31,80
NE,11,80
NG,20,80
RW,28,80
SD,14,80
SL,29,80
SN,27,80
SO,15,80
SS,37,80
TD,36,80
TG,18,80
TZ,20,80
UG,27,80
ZM,32,80
ZW,15,80
AO,45,90
BF,32,90
BI,39,90
BJ,42,90
CD,34,90
CF,28,90
CG,22,90
CI,31,90
CM,16,90
DJ,43,90
ER,23,90
ET,35,90
GA,18,90
GH,31,90
GM,35,90
GN,37,90
GQ,15,90
GW,40,90
KE,28,90
KM,26,90
LR,47,90
MG,33,90
ML,19,90
MR,47,90
MW,38,90
MZ,38,90
NE,16,90
NG,27,90
RW,33,90
SD,19,90
SL,33,90
SN,40,90
SO,28,90
SS,44,90
TD,43,90
TG,25,90
TZ,28,90
UG,32,90
ZM,38,90
ZW,23,90
AO,30,70
BF,22,70
BI,27,70
BJ,31,70
CD,25,70
CF,18,70
CG,10,70
CI,21,70
CM,7,70
DJ,32,70
ER,6,70
ET,27,70
GA,7,70
GH,23,70
GM,17,70
GN,19,70
GQ,7,70
GW,21,70
KE,18,70
KM,16,70
LR,32,70
MG,21,70
ML,11,70
MR,26,70
MW,26,70
MZ,26,70
NE,7,70
NG,15,70
RW,22,70
SD,10,70
SL,24,70
SN,21,70
SO,10,70
SS,32,70
TD,32,70
TG,13,70
TZ,16,70
UG,21,70
ZM,26,70
ZW,11,70
