iso_a2,q,target
AO,31,80
BF,15,80
BI,24,80
BJ,30,80
CD,19,80
CF,9,80
CG,4,80
CI,13,80
CM,2,80
DJ,31,80
ER,4,80
ET,22,80
GA,3,80
GH,17,80
GM,13,80
GN,15,80
GQ,2,80
GW,19,80
KE,9,80
KM,6,80
LR,33,80
MG,15,80
ML,3,80
MR,28,80
MW,23,80
MZ,23,80
NE,2,80
NG,7,80
RW,16,80
SD,3,80
SL,18,80
SN,20,80
SO,6,80
SS,32,80
TD,32,80
TG,6,80
TZ,8,80
UG,15,80
ZM,23,80
ZW,5,80
AO,38,90
BF,23,90
BI,34,90
BJ,37,90
CD,27,90
CF,16,90
CG,9,90
CI,21,90
CM,6,90
DJ,37,90
ER,10,90
ET,30,90
GA,9,90
GH,25,90
GM,28,90
GN,31,90
GQ,6,90
GW,34,90
KE,16,90
KM,13,90
LR,39,90
MG,26,90
ML,7,90
MR,39,90
MW,33,90
MZ,33,90
NE,6,90
NG,15,90
RW,27,90
SD,7,90
SL,26,90
SN,34,90
SO,16,90
SS,38,90
TD,38,90
TG,13,90
TZ,17,90
UG,26,90
ZM,33,90
ZW,9,90
AO,27,70
BF,16,70
BI,24,70
BJ,28,70
CD,19,70
CF,11,70
CG,7,70
CI,14,70
CM,5,70
DJ,28,70
ER,8,70
ET,21,70
GA,7,70
GH,16,70
GM,19,70
GN,20,70
GQ,5,70
GW,22,70
KE,11,70
KM,9,70
LR,28,70
MG,17,70
ML,5,70
MR,25,70
MW,23,70
MZ,23,70
NE,5,70
NG,11,70
RW,18,70
SD,5,70
SL,18,70
SN,22,70
SO,11,70
SS,29,70
TD,29,70
TG,9,70
TZ,11,70
UG,17,70
ZM,23,70
ZW,7,70
