"iso_a2","s270","s280","s290","s370","s380","s390"
"AO",25,30,NA,23,29,NA
"BF",19,25,NA,11,17,28
"BI",23,29,NA,17,23,26
"BJ",26,NA,NA,23,30,NA
"CD",22,28,NA,15,21,28
"CF",15,24,28,7,10,22
"CG",9,12,20,7,7,11
"CI",19,29,30,9,14,26
"CM",7,10,17,7,7,7
"DJ",26,NA,NA,24,21,NA
"ER",9,12,20,7,7,10
"ET",23,29,NA,17,23,30
"GA",7,10,17,7,7,8
"GH",17,27,29,8,7,24
"GM",21,25,NA,11,16,27
"GN",20,26,NA,13,19,30
"GQ",7,10,16,7,NA,7
"GW",22,28,NA,16,22,29
"KE",12,17,27,7,7,15
"KM",13,19,28,7,8,16
"LR",26,NA,NA,25,22,NA
"MG",20,24,30,10,15,27
"ML",9,12,21,7,7,7
"MR",26,NA,NA,23,30,NA
"MW",23,29,NA,17,23,30
"MZ",22,28,NA,17,23,30
"NE",7,10,17,7,7,7
"NG",12,18,27,7,7,15
"RW",21,25,NA,11,17,28
"SD",9,12,20,7,7,11
"SL",21,27,NA,14,20,30
"SN",22,28,NA,16,22,30
"SO",12,16,26,7,7,14
"SS",27,NA,NA,25,22,NA
"TD",26,NA,NA,25,22,NA
"TG",11,15,25,7,7,13
"TZ",13,19,28,7,8,16
"UG",20,24,30,10,15,26
"ZM",23,29,NA,17,23,30
"ZW",9,12,21,7,7,7
