id,iso_a2,country,lifespan,quantifier,country_code,country_name,x2020,x2021,x2022,x2023,x2024,x2025,x2026,x2027,x2028,x2029,x2030,x2031,x2032,x2033,x2034,x2035,x2036,x2037,x2038,x2039,x2040,qpct,totalnets
Full CD: 70% target,AO,Angola,1,29,AGO,Angola,33428485.999999996,34503774,35588987,36684202,37804634,38942792,40099526,41274799,42468710,43680934,44911664,46161755,47428242,48710079,50007926,51321963,52652828,53998512,55355639,56723292,58104437,0.29,33885616.08
Full CD: 70% target,AO,Angola,1.5,25,AGO,Angola,33428485.999999996,34503774,35588987,36684202,37804634,38942792,40099526,41274799,42468710,43680934,44911664,46161755,47428242,48710079,50007926,51321963,52652828,53998512,55355639,56723292,58104437,0.25,29211738
Full CD: 70% target,AO,Angola,2,15,AGO,Angola,33428485.999999996,34503774,35588987,36684202,37804634,38942792,40099526,41274799,42468710,43680934,44911664,46161755,47428242,48710079,50007926,51321963,52652828,53998512,55355639,56723292,58104437,0.15,17527042.799999997
Full CD: 70% target,AO,Angola,2.5,12,AGO,Angola,33428485.999999996,34503774,35588987,36684202,37804634,38942792,40099526,41274799,42468710,43680934,44911664,46161755,47428242,48710079,50007926,51321963,52652828,53998512,55355639,56723292,58104437,0.12,14021634.240000002
Full CD: 70% target,AO,Angola,3,9,AGO,Angola,33428485.999999996,34503774,35588987,36684202,37804634,38942792,40099526,41274799,42468710,43680934,44911664,46161755,47428242,48710079,50007926,51321963,52652828,53998512,55355639,56723292,58104437,0.09,10516225.68
Full CD: 70% target,AO,Angola,3.5,8,AGO,Angola,33428485.999999996,34503774,35588987,36684202,37804634,38942792,40099526,41274799,42468710,43680934,44911664,46161755,47428242,48710079,50007926,51321963,52652828,53998512,55355639,56723292,58104437,0.08,9347756.16
Full CD: 70% target,BF,Burkina Faso,1,30,BFA,Burkina Faso,21522626,22100683,22673762,23251485,23840247,24436925,25040390,25650897,26267784,26892087,27523563,28160684,28803224,29451315,30104222,30759536,31416263,32074082,32733314,33392206,34050733,0.3,21995268.6
Full CD: 70% target,BF,Burkina Faso,1.5,23,BFA,Burkina Faso,21522626,22100683,22673762,23251485,23840247,24436925,25040390,25650897,26267784,26892087,27523563,28160684,28803224,29451315,30104222,30759536,31416263,32074082,32733314,33392206,34050733,0.23,16863039.26
Full CD: 70% target,BF,Burkina Faso,2,16,BFA,Burkina Faso,21522626,22100683,22673762,23251485,23840247,24436925,25040390,25650897,26267784,26892087,27523563,28160684,28803224,29451315,30104222,30759536,31416263,32074082,32733314,33392206,34050733,0.16,11730809.92
Full CD: 70% target,BF,Burkina Faso,2.5,12,BFA,Burkina Faso,21522626,22100683,22673762,23251485,23840247,24436925,25040390,25650897,26267784,26892087,27523563,28160684,28803224,29451315,30104222,30759536,31416263,32074082,32733314,33392206,34050733,0.12,8798107.44
Full CD: 70% target,BF,Burkina Faso,3,10,BFA,Burkina Faso,21522626,22100683,22673762,23251485,23840247,24436925,25040390,25650897,26267784,26892087,27523563,28160684,28803224,29451315,30104222,30759536,31416263,32074082,32733314,33392206,34050733,0.1,7331756.2
Full CD: 70% target,BF,Burkina Faso,3.5,8,BFA,Burkina Faso,21522626,22100683,22673762,23251485,23840247,24436925,25040390,25650897,26267784,26892087,27523563,28160684,28803224,29451315,30104222,30759536,31416263,32074082,32733314,33392206,34050733,0.08,5865404.96
Full CD: 70% target,BI,Burundi,1,29,BDI,Burundi,12220226,12551213,12889576,13238559,13591658,13948140,14307816,14673012,15043647,15419302,15800530,16187388,16580035,16979760,17386443,17799740,18217324,18639033,19066058,19496105,19928151,0.29,12135808.059999999
Full CD: 70% target,BI,Burundi,1.5,25,BDI,Burundi,12220226,12551213,12889576,13238559,13591658,13948140,14307816,14673012,15043647,15419302,15800530,16187388,16580035,16979760,17386443,17799740,18217324,18639033,19066058,19496105,19928151,0.25,10461903.5
Full CD: 70% target,BI,Burundi,2,15,BDI,Burundi,12220226,12551213,12889576,13238559,13591658,13948140,14307816,14673012,15043647,15419302,15800530,16187388,16580035,16979760,17386443,17799740,18217324,18639033,19066058,19496105,19928151,0.15,6277142.1
Full CD: 70% target,BI,Burundi,2.5,12,BDI,Burundi,12220226,12551213,12889576,13238559,13591658,13948140,14307816,14673012,15043647,15419302,15800530,16187388,16580035,16979760,17386443,17799740,18217324,18639033,19066058,19496105,19928151,0.12,5021713.68
Full CD: 70% target,BI,Burundi,3,9,BDI,Burundi,12220226,12551213,12889576,13238559,13591658,13948140,14307816,14673012,15043647,15419302,15800530,16187388,16580035,16979760,17386443,17799740,18217324,18639033,19066058,19496105,19928151,0.09,3766285.26
Full CD: 70% target,BI,Burundi,3.5,8,BDI,Burundi,12220226,12551213,12889576,13238559,13591658,13948140,14307816,14673012,15043647,15419302,15800530,16187388,16580035,16979760,17386443,17799740,18217324,18639033,19066058,19496105,19928151,0.08,3347809.12
Full CD: 70% target,BJ,Benin,1,30,BEN,Benin,12643123,12996895,13352864,13712828,14080072,14454199,14832937,15216009,15603721,15996446,16393827.000000002,16795573,17201982,17613873,18030402,18450172,18874268,19303369,19737070,20176029,20620647,0.3,13010162.4
