iso3,lifespan,s270,s280,s290,s370,s380,s390
DJI,1,28,35,42,27,35,37
LBR,1,29,36,42,28,35,38
SSD,1,29,36,43,28,36,38
TCD,1,29,36,42,28,35,38
AGO,1.1,26,33,43,25,32,39
BEN,1.1,28,35,41,27,34,40
MRT,1.1,22,29,42,21,27,38
BDI,1.3,23,29,37,19,26,36
ETH,1.3,23,29,35,20,27,27
MWI,1.3,22,29,37,19,26,35
MOZ,1.3,22,28,37,18,26,35
ZMB,1.3,26,32,39,23,30,38
COD,1.4,22,28,33,18,24,25
GNB,1.4,18,23,35,13,19,32
SEN,1.4,18,24,35,14,20,33
GIN,1.5,16,21,32,11,16,29
SLE,1.5,21,27,32,17,23,24
BFA,1.6,16,20,31,9,15,28
GMB,1.6,15,20,30,8,14,27
MDG,1.6,18,24,31,12,19,27
RWA,1.6,19,25,32,13,20,28
CIV,1.7,18,23,30,11,18,26
UGA,1.7,18,24,30,12,18,27
GHA,1.8,19,25,30,13,20,28
CAF,1.9,17,21,25,9,15,34
COM,2.1,15,19,23,6,10,38
TZA,2.1,14,18,24,4,11,20
NGA,2.2,14,18,22,4,9,37
KEN,2.3,15,20,24,6,13,20
SOM,2.4,10,14,21,0,4,15
TGO,2.4,12,16,21,1,8,16
MLI,2.8,8,11,18,0,0,11
ZWE,2.8,10,14,19,0,5,12
COG,2.9,10,13,18,0,4,15
SDN,2.9,10,14,17,0,1,32
ERI,3,7,10,17,0,0,10
GAB,3.3,10,13,17,0,0,13
CMR,3.5,8,11,15,0,0,9
NER,3.5,6,9,14,0,0,7
GNQ,3.6,8,11,13,0,1,8
