iso3,lifespan,scenario,totalnets,target,scenlabel,country
AGO,1.1,0,28645701.564444445,70,Mass campaigns: Every 3 years using pop/1.8,Angola
AGO,1.1,2,37391024.64,70,CD: Annual distributions,Angola
AGO,1.1,3,48121741.56444445,70,CD: Between mass campaigns,Angola
AGO,1.1,4,396438737.12,70,Mass campaigns: Every 3 years using tailored approach,Angola
AGO,1.1,5,66937094.04307692,70,Mass campaigns: Every 2 years using tailored approach,Angola
AGO,1.1,6,50290906.008888885,70,Mass campaigns: Every 2 years using pop/1.8,Angola
AGO,1.1,0_routine,7010817.120000001,70,NA,Angola
AGO,1.1,0_mass,21634884.444444444,70,NA,Angola
AGO,1.1,0_cd,0,70,NA,Angola
AGO,1.1,2_routine,7010817.120000001,70,NA,Angola
AGO,1.1,2_mass,0,70,NA,Angola
AGO,1.1,2_cd,30380207.519999996,70,NA,Angola
AGO,1.1,3_routine,7010817.120000001,70,NA,Angola
AGO,1.1,3_mass,21634884.444444444,70,NA,Angola
AGO,1.1,3_cd,19476040,70,NA,Angola
AGO,1.1,4_routine,7010817.120000001,70,NA,Angola
AGO,1.1,4_mass,389427920,70,NA,Angola
AGO,1.1,4_cd,0,70,NA,Angola
AGO,1.1,5_routine,7010817.120000001,70,NA,Angola
AGO,1.1,5_mass,59926276.92307692,70,NA,Angola
AGO,1.1,5_cd,0,70,NA,Angola
AGO,1.1,6_routine,7010817.120000001,70,NA,Angola
AGO,1.1,6_mass,43280088.88888889,70,NA,Angola
AGO,1.1,6_cd,0,70,NA,Angola
BDI,1.3,0,10259823.506666666,70,Mass campaigns: Every 3 years using pop/1.8,Burundi
BDI,1.3,2,12135808.06,70,CD: Annual distributions,Burundi
BDI,1.3,3,15560723.566666666,70,CD: Between mass campaigns,Burundi
BDI,1.3,4,37381206.84,70,Mass campaigns: Every 3 years using tailored approach,Burundi
BDI,1.3,5,19948028.09,70,Mass campaigns: Every 2 years using tailored approach,Burundi
BDI,1.3,6,18010564.617777776,70,Mass campaigns: Every 2 years using pop/1.8,Burundi
BDI,1.3,0_routine,2510856.84,70,NA,Burundi
BDI,1.3,0_mass,7748966.666666666,70,NA,Burundi
BDI,1.3,0_cd,0,70,NA,Burundi
BDI,1.3,2_routine,2510856.84,70,NA,Burundi
BDI,1.3,2_mass,0,70,NA,Burundi
BDI,1.3,2_cd,9624951.22,70,NA,Burundi
BDI,1.3,3_routine,2510856.84,70,NA,Burundi
BDI,1.3,3_mass,7748966.666666666,70,NA,Burundi
BDI,1.3,3_cd,5300900.0600000005,70,NA,Burundi
BDI,1.3,4_routine,2510856.84,70,NA,Burundi
BDI,1.3,4_mass,34870350,70,NA,Burundi
BDI,1.3,4_cd,0,70,NA,Burundi
BDI,1.3,5_routine,2510856.84,70,NA,Burundi
BDI,1.3,5_mass,17437171.25,70,NA,Burundi
BDI,1.3,5_cd,0,70,NA,Burundi
BDI,1.3,6_routine,2510856.84,70,NA,Burundi
BDI,1.3,6_mass,15499707.777777776,70,NA,Burundi
BDI,1.3,6_cd,0,70,NA,Burundi
BEN,1.1,0,10632143.035555555,70,Mass campaigns: Every 3 years using pop/1.8,Benin
BEN,1.1,2,14744850.720000003,70,CD: Annual distributions,Benin
BEN,1.1,3,18438655.465555556,70,CD: Between mass campaigns,Benin
BEN,1.1,4,147144022.48,70,Mass campaigns: Every 3 years using tailored approach,Benin
BEN,1.1,5,26696206.64666667,70,Mass campaigns: Every 2 years using tailored approach,Benin
BEN,1.1,6,18664815.257777777,70,Mass campaigns: Every 2 years using pop/1.8,Benin
BEN,1.1,0_routine,2602032.4799999995,70,NA,Benin
BEN,1.1,0_mass,8030110.555555555,70,NA,Benin
BEN,1.1,0_cd,0,70,NA,Benin
BEN,1.1,2_routine,2602032.4799999995,70,NA,Benin
BEN,1.1,2_mass,0,70,NA,Benin
BEN,1.1,2_cd,12142818.240000002,70,NA,Benin
BEN,1.1,3_routine,2602032.4799999995,70,NA,Benin
BEN,1.1,3_mass,8030110.555555555,70,NA,Benin
BEN,1.1,3_cd,7806512.430000001,70,NA,Benin
BEN,1.1,4_routine,2602032.4799999995,70,NA,Benin
BEN,1.1,4_mass,144541990,70,NA,Benin
BEN,1.1,4_cd,0,70,NA,Benin
BEN,1.1,5_routine,2602032.4799999995,70,NA,Benin
BEN,1.1,5_mass,24094174.166666668,70,NA,Benin
BEN,1.1,5_cd,0,70,NA,Benin
BEN,1.1,6_routine,2602032.4799999995,70,NA,Benin
BEN,1.1,6_mass,16062782.777777776,70,NA,Benin
BEN,1.1,6_cd,0,70,NA,Benin
BFA,1.6,0,17975123.164444443,70,Mass campaigns: Every 3 years using pop/1.8,Burkina Faso
BFA,1.6,2,16129863.64,70,CD: Annual distributions,Burkina Faso
BFA,1.6,3,22374380.494444445,70,CD: Between mass campaigns,Burkina Faso
BFA,1.6,4,31551192.608888887,70,Mass campaigns: Every 3 years using tailored approach,Burkina Faso
BFA,1.6,5,28839372.22,70,Mass campaigns: Every 2 years using tailored approach,Burkina Faso
BFA,1.6,6,31554963.164444443,70,Mass campaigns: Every 2 years using pop/1.8,Burkina Faso
BFA,1.6,0_routine,4399053.72,70,NA,Burkina Faso
BFA,1.6,0_mass,13576069.444444444,70,NA,Burkina Faso
BFA,1.6,0_cd,0,70,NA,Burkina Faso
BFA,1.6,2_routine,4399053.72,70,NA,Burkina Faso
BFA,1.6,2_mass,0,70,NA,Burkina Faso
BFA,1.6,2_cd,11730809.92,70,NA,Burkina Faso
BFA,1.6,3_routine,4399053.72,70,NA,Burkina Faso
BFA,1.6,3_mass,13576069.444444444,70,NA,Burkina Faso
BFA,1.6,3_cd,4399257.33,70,NA,Burkina Faso
BFA,1.6,4_routine,4399053.72,70,NA,Burkina Faso
BFA,1.6,4_mass,27152138.888888888,70,NA,Burkina Faso
BFA,1.6,4_cd,0,70,NA,Burkina Faso
BFA,1.6,5_routine,4399053.72,70,NA,Burkina Faso
BFA,1.6,5_mass,24440318.5,70,NA,Burkina Faso
BFA,1.6,5_cd,0,70,NA,Burkina Faso
BFA,1.6,6_routine,4399053.72,70,NA,Burkina Faso
BFA,1.6,6_mass,27155909.444444444,70,NA,Burkina Faso
BFA,1.6,6_cd,0,70,NA,Burkina Faso
CAF,1.9,0,4485473.226666667,70,Mass campaigns: Every 3 years using pop/1.8,Central African Republic
CAF,1.9,2,4209005.98,70,CD: Annual distributions,Central African Republic
CAF,1.9,3,5583705.156666666,70,CD: Between mass campaigns,Central African Republic
CAF,1.9,4,6641137.014545454,70,Mass campaigns: Every 3 years using tailored approach,Central African Republic
CAF,1.9,5,7199290.0600000005,70,Mass campaigns: Every 2 years using tailored approach,Central African Republic
CAF,1.9,6,7877211.004444445,70,Mass campaigns: Every 2 years using pop/1.8,Central African Republic
CAF,1.9,0_routine,1098001.56,70,NA,Central African Republic
CAF,1.9,0_mass,3387471.6666666665,70,NA,Central African Republic
CAF,1.9,0_cd,0,70,NA,Central African Republic
CAF,1.9,2_routine,1098001.56,70,NA,Central African Republic
CAF,1.9,2_mass,0,70,NA,Central African Republic
CAF,1.9,2_cd,3111004.42,70,NA,Central African Republic
CAF,1.9,3_routine,1098001.56,70,NA,Central African Republic
CAF,1.9,3_mass,3387471.6666666665,70,NA,Central African Republic
CAF,1.9,3_cd,1098231.93,70,NA,Central African Republic
CAF,1.9,4_routine,1098001.56,70,NA,Central African Republic
CAF,1.9,4_mass,5543135.454545454,70,NA,Central African Republic
CAF,1.9,4_cd,0,70,NA,Central African Republic
CAF,1.9,5_routine,1098001.56,70,NA,Central African Republic
CAF,1.9,5_mass,6101288.5,70,NA,Central African Republic
CAF,1.9,5_cd,0,70,NA,Central African Republic
CAF,1.9,6_routine,1098001.56,70,NA,Central African Republic
CAF,1.9,6_mass,6779209.444444444,70,NA,Central African Republic
CAF,1.9,6_cd,0,70,NA,Central African Republic
CIV,1.7,0,22320454.19333333,70,Mass campaigns: Every 3 years using pop/1.8,Côte d’Ivoire
