iso3,lifespan,scenario,totalnets,target,scenlabel,country
AGO,1.1,0,117948465.81111111,70,Mass campaigns: Every 3 years using pop/1.8,Angola
AGO,1.1,2,156133321.22444445,70,CD: Annual distributions,Angola
AGO,1.1,3,190919466.0611111,70,CD: Between mass campaigns,Angola
AGO,1.1,4,1658925214.7,70,Mass campaigns: Every 3 years using tailored approach,Angola
AGO,1.1,5,218304130.85384613,70,Mass campaigns: Every 2 years using tailored approach,Angola
AGO,1.1,6,165248198.58888888,70,Mass campaigns: Every 2 years using pop/1.8,Angola
AGO,1.1,0_routine,27302774.7,70,NA,Angola
AGO,1.1,0_mass,90645691.1111111,70,NA,Angola
AGO,1.1,0_cd,0,70,NA,Angola
AGO,1.1,2_routine,27302774.7,70,NA,Angola
AGO,1.1,2_mass,19771659.444444444,70,NA,Angola
AGO,1.1,2_cd,109058887.08,70,NA,Angola
AGO,1.1,3_routine,27302774.7,70,NA,Angola
AGO,1.1,3_mass,90645691.1111111,70,NA,Angola
AGO,1.1,3_cd,72971000.25,70,NA,Angola
AGO,1.1,4_routine,27302774.7,70,NA,Angola
AGO,1.1,4_mass,1631622440,70,NA,Angola
AGO,1.1,4_cd,0,70,NA,Angola
AGO,1.1,5_routine,27302774.7,70,NA,Angola
AGO,1.1,5_mass,191001356.15384614,70,NA,Angola
AGO,1.1,5_cd,0,70,NA,Angola
AGO,1.1,6_routine,27302774.7,70,NA,Angola
AGO,1.1,6_mass,137945423.8888889,70,NA,Angola
AGO,1.1,6_cd,0,70,NA,Angola
BDI,1.3,0,41961197.002222225,70,Mass campaigns: Every 3 years using pop/1.8,Burundi
BDI,1.3,2,51083375.34555555,70,CD: Annual distributions,Burundi
BDI,1.3,3,61647270.282222226,70,CD: Between mass campaigns,Burundi
BDI,1.3,4,154872657.28,70,Mass campaigns: Every 3 years using tailored approach,Burundi
BDI,1.3,5,64834068.53,70,Mass campaigns: Every 2 years using tailored approach,Burundi
BDI,1.3,6,58708147.55777778,70,Mass campaigns: Every 2 years using pop/1.8,Burundi
BDI,1.3,0_routine,9700779.78,70,NA,Burundi
BDI,1.3,0_mass,32260417.222222224,70,NA,Burundi
BDI,1.3,0_cd,0,70,NA,Burundi
BDI,1.3,2_routine,9700779.78,70,NA,Burundi
BDI,1.3,2_mass,7160875.555555555,70,NA,Burundi
BDI,1.3,2_cd,34221720.01,70,NA,Burundi
BDI,1.3,3_routine,9700779.78,70,NA,Burundi
BDI,1.3,3_mass,32260417.222222224,70,NA,Burundi
BDI,1.3,3_cd,19686073.279999997,70,NA,Burundi
BDI,1.3,4_routine,9700779.78,70,NA,Burundi
BDI,1.3,4_mass,145171877.5,70,NA,Burundi
BDI,1.3,4_cd,0,70,NA,Burundi
BDI,1.3,5_routine,9700779.78,70,NA,Burundi
BDI,1.3,5_mass,55133288.75,70,NA,Burundi
BDI,1.3,5_cd,0,70,NA,Burundi
BDI,1.3,6_routine,9700779.78,70,NA,Burundi
BDI,1.3,6_mass,49007367.777777776,70,NA,Burundi
BDI,1.3,6_cd,0,70,NA,Burundi
BEN,1.1,0,43506403.59111111,70,Mass campaigns: Every 3 years using pop/1.8,Benin
BEN,1.1,2,60677211.57777779,70,CD: Annual distributions,Benin
BEN,1.1,3,72513610.86111112,70,CD: Between mass campaigns,Benin
BEN,1.1,4,612121997.48,70,Mass campaigns: Every 3 years using tailored approach,Benin
BEN,1.1,5,86279596.64666668,70,Mass campaigns: Every 2 years using tailored approach,Benin
BEN,1.1,6,60872540.25777778,70,Mass campaigns: Every 2 years using pop/1.8,Benin
BEN,1.1,0_routine,10058427.48,70,NA,Benin
BEN,1.1,0_mass,33447976.11111111,70,NA,Benin
BEN,1.1,0_cd,0,70,NA,Benin
BEN,1.1,2_routine,10058427.48,70,NA,Benin
BEN,1.1,2_mass,7418257.777777778,70,NA,Benin
BEN,1.1,2_cd,43200526.32000001,70,NA,Benin
BEN,1.1,3_routine,10058427.48,70,NA,Benin
BEN,1.1,3_mass,33447976.11111111,70,NA,Benin
BEN,1.1,3_cd,29007207.270000003,70,NA,Benin
BEN,1.1,4_routine,10058427.48,70,NA,Benin
BEN,1.1,4_mass,602063570,70,NA,Benin
BEN,1.1,4_cd,0,70,NA,Benin
BEN,1.1,5_routine,10058427.48,70,NA,Benin
BEN,1.1,5_mass,76221169.16666667,70,NA,Benin
BEN,1.1,5_cd,0,70,NA,Benin
BEN,1.1,6_routine,10058427.48,70,NA,Benin
BEN,1.1,6_mass,50814112.777777776,70,NA,Benin
BEN,1.1,6_cd,0,70,NA,Benin
BFA,1.6,0,73363104.54666667,70,Mass campaigns: Every 3 years using pop/1.8,Burkina Faso
BFA,1.6,2,71127763.08444445,70,CD: Annual distributions,Burkina Faso
BFA,1.6,3,89653274.91666667,70,CD: Between mass campaigns,Burkina Faso
BFA,1.6,4,129773746.21333334,70,Mass campaigns: Every 3 years using tailored approach,Burkina Faso
BFA,1.6,5,94026947.88,70,Mass campaigns: Every 2 years using tailored approach,Burkina Faso
BFA,1.6,6,102590779.54666665,70,Mass campaigns: Every 2 years using pop/1.8,Burkina Faso
BFA,1.6,0_routine,16952462.88,70,NA,Burkina Faso
BFA,1.6,0_mass,56410641.66666667,70,NA,Burkina Faso
BFA,1.6,0_cd,0,70,NA,Burkina Faso
BFA,1.6,2_routine,16952462.88,70,NA,Burkina Faso
BFA,1.6,2_mass,12596534.444444444,70,NA,Burkina Faso
BFA,1.6,2_cd,41578765.760000005,70,NA,Burkina Faso
BFA,1.6,3_routine,16952462.88,70,NA,Burkina Faso
BFA,1.6,3_mass,56410641.66666667,70,NA,Burkina Faso
BFA,1.6,3_cd,16290170.370000001,70,NA,Burkina Faso
BFA,1.6,4_routine,16952462.88,70,NA,Burkina Faso
BFA,1.6,4_mass,112821283.33333334,70,NA,Burkina Faso
BFA,1.6,4_cd,0,70,NA,Burkina Faso
BFA,1.6,5_routine,16952462.88,70,NA,Burkina Faso
BFA,1.6,5_mass,77074485,70,NA,Burkina Faso
BFA,1.6,5_cd,0,70,NA,Burkina Faso
BFA,1.6,6_routine,16952462.88,70,NA,Burkina Faso
BFA,1.6,6_mass,85638316.66666666,70,NA,Burkina Faso
BFA,1.6,6_cd,0,70,NA,Burkina Faso
CAF,1.9,0,18565838.897777773,70,Mass campaigns: Every 3 years using pop/1.8,Central African Republic
CAF,1.9,2,18628868.424444444,70,CD: Annual distributions,Central African Republic
CAF,1.9,3,22702373.26777778,70,CD: Between mass campaigns,Central African Republic
CAF,1.9,4,27645018.847272724,70,Mass campaigns: Every 3 years using tailored approach,Central African Republic
CAF,1.9,5,23852375.119999997,70,Mass campaigns: Every 2 years using tailored approach,Central African Republic
CAF,1.9,6,26025021.675555557,70,Mass campaigns: Every 2 years using pop/1.8,Central African Republic
CAF,1.9,0_routine,4298556.119999999,70,NA,Central African Republic
CAF,1.9,0_mass,14267282.777777776,70,NA,Central African Republic
CAF,1.9,0_cd,0,70,NA,Central African Republic
CAF,1.9,2_routine,4298556.119999999,70,NA,Central African Republic
CAF,1.9,2_mass,3099524.4444444445,70,NA,Central African Republic
CAF,1.9,2_cd,11230787.86,70,NA,Central African Republic
CAF,1.9,3_routine,4298556.119999999,70,NA,Central African Republic
CAF,1.9,3_mass,14267282.777777776,70,NA,Central African Republic
CAF,1.9,3_cd,4136534.3699999996,70,NA,Central African Republic
CAF,1.9,4_routine,4298556.119999999,70,NA,Central African Republic
CAF,1.9,4_mass,23346462.727272727,70,NA,Central African Republic
CAF,1.9,4_cd,0,70,NA,Central African Republic
CAF,1.9,5_routine,4298556.119999999,70,NA,Central African Republic
CAF,1.9,5_mass,19553819,70,NA,Central African Republic
CAF,1.9,5_cd,0,70,NA,Central African Republic
CAF,1.9,6_routine,4298556.119999999,70,NA,Central African Republic
CAF,1.9,6_mass,21726465.555555556,70,NA,Central African Republic
CAF,1.9,6_cd,0,70,NA,Central African Republic
CIV,1.7,0,91146532.4,70,Mass campaigns: Every 3 years using pop/1.8,Côte d’Ivoire
CIV,1.7,2,94825337.59555554,70,CD: Annual distributions,Côte d’Ivoire
CIV,1.7,3,115884218.12,70,CD: Between mass campaigns,Côte d’Ivoire
CIV,1.7,4,161230692.4,70,Mass campaigns: Every 3 years using tailored approach,Côte d’Ivoire
CIV,1.7,5,116828837.4,70,Mass campaigns: Every 2 years using tailored approach,Côte d’Ivoire
CIV,1.7,6,127469555.73333332,70,Mass campaigns: Every 2 years using pop/1.8,Côte d’Ivoire
CIV,1.7,0_routine,21062372.4,70,NA,Côte d’Ivoire
CIV,1.7,0_mass,70084160,70,NA,Côte d’Ivoire
CIV,1.7,0_cd,0,70,NA,Côte d’Ivoire
CIV,1.7,2_routine,21062372.4,70,NA,Côte d’Ivoire
CIV,1.7,2_mass,15644745.555555556,70,NA,Côte d’Ivoire
CIV,1.7,2_cd,58118219.63999999,70,NA,Côte d’Ivoire
CIV,1.7,3_routine,21062372.4,70,NA,Côte d’Ivoire
CIV,1.7,3_mass,70084160,70,NA,Côte d’Ivoire
CIV,1.7,3_cd,24737685.72,70,NA,Côte d’Ivoire
CIV,1.7,4_routine,21062372.4,70,NA,Côte d’Ivoire
CIV,1.7,4_mass,140168320,70,NA,Côte d’Ivoire
CIV,1.7,4_cd,0,70,NA,Côte d’Ivoire
CIV,1.7,5_routine,21062372.4,70,NA,Côte d’Ivoire
CIV,1.7,5_mass,95766465,70,NA,Côte d’Ivoire
CIV,1.7,5_cd,0,70,NA,Côte d’Ivoire
CIV,1.7,6_routine,21062372.4,70,NA,Côte d’Ivoire
